Nombre_Empresa_clean,Fecha,pasajeros
EASYFLY S.A,2021-05-01,185210
MAS AIR,2021-05-01,0
AERO LLANOS DEL ORIENTE,2022-07-01,12
ABSA,2019-01-01,0
DELTA,2017-01-08,15271
AIR PANAMA,2017-01-08,5801
AEROMENEGUA,2017-01-04,76
AVIANCA,2017-01-11,1104866
AEROTRANSPORTE DEL CARIBE C.A.,2017-01-12,16
HELISTAR S.A.S,2014-04-01,212
NO REGISTRA,2014-01-01,697
ALIANSA,2014-03-01,1197
AEROGAL,2014-11-01,63543
MARTINAIR,2014-03-01,0
SPIRIT AIRLINES,2014-06-01,22008
PACIFICA DE AVIACION S.A.S,2015-06-01,93
PACIFICA DE AVIACION S.A.S,2015-07-01,173
AEROPOSTAL,2015-08-01,115
SKY LEASE,2015-09-01,0
OCEANAIR,2015-11-01,449
AIR FRANCE,2020-11-01,3858
CHARTER DEL CARIBE S.A.,2021-04-01,38
AEREA S.A.,2021-08-01,1997
UNITED AIR LINES INC,2021-08-01,16887
VIVA AIR PERU,2022-12-01,13193
SAE,2020-04-01,16
VIANA S.A.S,2020-10-01,372
AIR FRANCE,2020-03-01,28290
ETHIPIAN AIRLINES,2020-10-01,0
MARTINAIR,2020-03-01,0
SARPA S.A.S,2022-02-01,1656
TAERCO,2019-04-01,175
LACSA,2017-01-01,14336
UNITED PARCEL SERVICE,2017-01-02,0
AEROCOL S.A.S,2017-01-08,156
LATAM,2017-01-09,488225
SKY LEASE,2017-01-09,0
ABSA,2017-01-11,0
MAS AIR,2017-01-11,0
AEROCOL S.A.S,2017-01-10,197
LASER AEREO S.A.S,2017-01-10,1112
AVIANLINE CHARTE´S S.A.S.,2019-01-01,246
DELTA,2019-06-01,13011
ARO LTDA,2014-11-01,975
TACA S.A.S,2014-09-01,331
PACIFICA DE AVIACION S.A.S,2014-01-01,187
AIR COLOMBIA,2014-10-01,0
AEROMEXICO,2014-08-01,13335
AVIANCA,2014-01-01,1216448
EASYFLY S.A,2014-08-01,64942
AERO APOYO,2015-03-01,334
SARPA S.A.S,2015-10-01,3734
AEROPACA SAS,2015-12-01,164
LUFTHANSA,2015-07-01,17328
AEROSUCRE,2015-09-01,0
IBERIA,2022-04-01,34583
AERO APOYO,2022-08-01,335
AER CARIBE,2020-12-01,0
HORIZONTAL S A S,2021-01-01,1884
SARPA S.A.S,2022-01-01,1709
LOS HALCONES,2020-06-01,0
DELTA,2020-09-01,0
TRANSCARGA INTERNATIONAL AIRWAYS C.A.,2020-04-01,0
AEROUNIÓN,2020-05-01,0
AEROMENEGUA,2021-02-01,92
SAVIARE LTDA,2022-02-01,253
AVIANLINE CHARTE´S S.A.S.,2022-07-01,1213
KLM,2017-01-03,6640
LASER AEREO S.A.S,2017-01-05,1220
SPIRIT AIRLINES,2019-01-01,48947
NO REGISTRA,2019-01-01,638
PACIFICA DE AVIACION S.A.S,2019-03-01,265
TAERCO,2014-03-01,119
LASER AEREO S.A.S,2014-01-01,835
INTERJET,2014-10-01,6426
TAP PORTUGAL SUCURSAL COLOMBIA,2014-07-01,5261
CONVIASA,2014-10-01,9497
VIVA AIR,2014-05-01,171974
TACA S.A.S,2015-08-01,258
VIANA S.A.S,2015-04-01,322
TAMPA CARGO,2015-12-01,0
ABX AIR INC,2020-11-01,0
AVIANLINE CHARTE´S S.A.S.,2022-08-01,1263
JETBLUE AIRWAYS,2022-12-01,25564
ALPES S.A.S,2021-01-01,108
ABX AIR INC,2020-05-01,0
ATLAS AIR,2020-10-01,0
TAMPA CARGO,2020-09-01,0
ALLAS S.A.S,2021-02-01,1214
TURKISH AIRLINES INC,2020-01-01,0
AERO LLANOS DEL ORIENTE,2021-07-01,46
ARO S.A.S.,2022-07-01,698
AEROLINEAS ARGENTINAS,2017-01-04,7415
AEROSUCRE,2017-01-04,0
AEROREPUBLICA,2017-01-02,175018
TRANSPACIFICOS,2017-01-11,194
JETBLUE AIRWAYS,2019-06-01,38260
AERUPIA SAS,2014-02-01,421
SAVIARE LTDA,2014-11-01,144
LUFTHANSA CARGO,2014-10-01,0
AEROSUCRE,2014-06-01,0
SKY LEASE,2014-04-01,0
LATAM,2015-07-01,477223
NO REGISTRA,2015-12-01,748
CHARTER DEL CARIBE S.A.,2015-10-01,222
INSEL AIR,2015-12-01,2654
AEROMENEGUA,2020-12-01,351
AERO LLANOS DEL ORIENTE,2020-12-01,48
ALLAS S.A.S,2021-01-01,1758
ABX AIR INC,2021-01-01,0
SOLAIR S.A.S,2020-07-01,546
AEROPACA SAS,2020-07-01,741
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2020-10-01,0
MARTINAIR,2020-05-01,0
WESTERN GLOBAL,2020-09-01,0
AEROPACA SAS,2022-02-01,1391
AVIANCA,2021-05-01,1135960
CENTRAL CHARTER,2017-01-03,59
SATENA,2017-01-04,75326
TAC,2017-01-02,2463
HELIGOLFO S.A.S,2017-01-06,0
LASER AEREO S.A.S,2017-01-08,648
UNITED AIR LINES INC,2017-01-10,20884
INTEREJECUTIVA,2017-01-11,428
AIR CANADA,2019-01-01,15003
STARBLUE AIRLINES,2019-02-01,79
CUBANA,2014-05-01,441
SADELCA,2014-07-01,959
ABSA,2014-07-01,0
SAVIARE LTDA,2015-07-01,39
ASES LTDA.,2015-06-01,15
CHARTER DEL CARIBE S.A.,2015-01-01,122
AIR PANAMA,2015-09-01,3177
AIR PANAMA,2015-08-01,3831
TRANS AMERICAN AIR LINES,2015-08-01,41213
LADECO,2021-04-01,0
HELI JET SAS,2021-08-01,502
AERO TAXI GUAYMARAL,2021-08-01,34
AVIOCESAR,2020-09-01,45
CARGOLUX AIRLINES INTERNATIONAL S.A.,2020-03-01,0
IBERIA,2020-09-01,13146
LACSA,2020-02-01,56004
WESTERN GLOBAL,2020-05-01,0
ABSA,2022-02-01,0
AVIANLINE CHARTE´S S.A.S.,2021-05-01,1082
MAS AIR,2021-07-01,0
AER CARIBE,2021-08-01,0
KOREN AIR LINES CO .LTD.,2019-04-01,0
UNITED PARCEL SERVICE,2019-04-01,0
SAE,2019-04-01,123
CENTRAL CHARTER,2017-01-06,49
IBERIA,2017-01-07,26432
UNITED PARCEL SERVICE,2017-01-03,0
ALLAS S.A.S,2017-01-06,1186
TARI,2017-01-02,118
AEXPA,2017-01-01,575
TRANSPACIFICOS,2017-01-05,339
AIR CANADA,2017-01-12,10626
VIVA AIR,2017-01-09,248634
ALLAS S.A.S,2017-01-09,1481
ASES LTDA.,2019-02-01,312
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2014-12-01,884
NACIONAL DE AVIACION S.A.S,2014-02-01,72
INSEL AIR,2014-01-01,1708
SPIRIT AIRLINES,2014-12-01,32078
ASES LTDA.,2015-05-01,47
AIR EUROPA,2020-11-01,8811
TAMPA CARGO,2022-08-01,0
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2021-01-01,0
HELISAS S.A.S,2022-01-01,316
TAC,2020-10-01,3546
KLM,2020-10-01,11850
WESTERN GLOBAL,2020-01-01,0
SAVIARE LTDA,2021-06-01,354
NO REGISTRA,2021-07-01,476
AMERICAN,2017-01-12,61480
AEROTRANSPORTE DEL CARIBE C.A.,2017-01-11,3
SEARCA S.A.,2017-01-11,11915
AVIOICHARTER LIMITADA,2017-01-10,68
UNITED AIR LINES INC,2019-01-01,24207
CHARTER DEL CARIBE S.A.,2019-06-01,116
TAERCO,2014-11-01,190
HELISTAR S.A.S,2014-11-01,244
HELISTAR S.A.S,2014-08-01,196
ASES LTDA.,2014-02-01,28
NO REGISTRA,2014-04-01,653
INTERJET,2014-05-01,5042
MARTINAIR,2014-12-01,0
TAMPA CARGO,2014-05-01,0
VENSECAR C.A.,2014-10-01,0
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2015-01-01,1192
AMERICAN,2015-01-01,50300
DELTA,2015-12-01,13556
FEDERAL EXPRESS CORPORATION,2022-04-01,0
AEROREPUBLICA,2022-12-01,188513
HELIGOLFO S.A.S,2020-04-01,60
HELISTAR S.A.S,2020-09-01,666
SPIRIT AIRLINES,2022-02-01,66261
CHARTER DEL CARIBE S.A.,2020-01-01,62
AIR CANADA,2021-05-01,2738
NORTHERN AIR CARGO,2020-05-01,0
AIR CANADA,2017-01-03,8082
LAS,2017-01-05,0
SPIRIT AIRLINES,2017-01-07,27827
ASES LTDA.,2017-01-08,343
AERO TAXI GUAYMARAL,2017-01-12,121
COPA,2019-01-01,23391
TRANSPACIFICOS,2019-01-01,975
SEARCA S.A.,2019-02-01,9506
RIO SUR,2014-03-01,199
SARPA S.A.S,2014-06-01,5806
SARPA S.A.S,2014-02-01,2747
CHARTER DEL CARIBE S.A.,2014-03-01,117
AEROMEXICO,2014-12-01,12679
CUBANA,2014-11-01,441
AEROCHARTER ANDINA S.A.S.,2015-05-01,176
CARGOLUX AIRLINES INTERNATIONAL S.A.,2015-01-01,0
COPA,2015-09-01,9952
TAMPA CARGO,2015-05-01,0
LADECO,2020-12-01,0
AVIOCESAR,2021-12-01,90
AER CARIBE,2021-12-01,0
AEROSUCRE,2022-01-01,0
SAE,2020-02-01,124
AMERICAN,2020-03-01,98805
FEDERAL EXPRESS CORPORATION,2020-07-01,0
AEREA S.A.,2021-05-01,1046
HORIZONTAL S A S,2021-07-01,619
ABX AIR INC,2019-04-01,0
GEMINI AIRLINES,2019-04-01,452
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2019-04-01,0
DHL AERO EXPRESO,2017-01-01,0
EASYFLY S.A,2017-01-04,71344
CONVIASA,2017-01-05,1659
HELIGOLFO S.A.S,2017-01-01,397
PACIFICA DE AVIACION S.A.S,2017-01-07,1637
MAS AIR,2019-06-01,0
AERO APOYO,2014-04-01,429
STARBLUE AIRLINES,2014-04-01,148
ARO LTDA,2014-12-01,784
AVIOCESAR,2014-12-01,336
TARI,2014-09-01,437
AER CARIBE,2014-11-01,31
DHL AERO EXPRESO,2014-09-01,0
MAS AIR,2014-12-01,0
AERO APOYO,2015-11-01,237
AERO APOYO,2015-06-01,220
LATAM,2015-03-01,361584
TAERCO,2015-09-01,55
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2015-06-01,164
AEROLINEAS ALAS DE COLOMBIA LTDA.,2015-01-01,284
AIR FRANCE,2015-10-01,13861
INTERJET,2015-02-01,8543
DYNAMIC AIRWAYS,2015-09-01,0
TAP PORTUGAL SUCURSAL COLOMBIA,2015-06-01,3718
HORIZONTAL S A S,2021-08-01,1011
NO REGISTRA,2022-08-01,802
VIVA AIR,2022-08-01,651658
AERO TAXI GUAYMARAL,2022-12-01,0
VIANA S.A.S,2021-01-01,180
PACIFICA DE AVIACION S.A.S,2020-09-01,2133
AEROGAL,2020-10-01,5838
HELISTAR S.A.S,2020-05-01,165
UNITED PARCEL SERVICE,2020-05-01,0
DHL AERO EXPRESO,2021-07-01,0
SKY AIRLINE,2021-06-01,384
SARPA S.A.S,2019-04-01,3493
NO REGISTRA,2017-01-01,511
AEROMEXICO,2017-01-11,30925
TARI,2017-01-11,58
ASES LTDA.,2017-01-10,377
SOLAIR S.A.S,2017-01-09,154
PACIFICA DE AVIACION S.A.S,2019-01-01,1094
TARI,2014-05-01,357
EASYFLY S.A,2014-04-01,57813
IBERIA,2014-10-01,17475
SADELCA,2014-09-01,1114
TACA INTERNATIONAL,2014-11-01,20875
TRANS AMERICAN AIR LINES,2014-06-01,31892
ALLAS S.A.S,2015-12-01,1141
RIO SUR,2015-01-01,13
CARGOLUX AIRLINES INTERNATIONAL S.A.,2015-05-01,0
EASYFLY S.A,2015-01-01,72660
FLORIDA WEST INTERNATIONAL AIRWAYS INC.,2015-12-01,0
SEARCA S.A.,2021-08-01,10240
LADECO,2021-08-01,0
HELISAS S.A.S,2021-12-01,381
TAERCO,2020-05-01,0
TAC,2020-04-01,48
AVIANLINE CHARTE´S S.A.S.,2020-05-01,222
LUFTHANSA,2020-01-01,23194
ETHIPIAN AIRLINES,2021-07-01,0
SKY LEASE,2019-04-01,0
REGIONAL EXPRESS AMERICAS,2019-04-01,22592
LADECO,2017-01-03,0
AEROTRANSPORTE DE CARGA UNION,2017-01-08,0
UNITED AIR LINES INC,2017-01-08,23682
ALLAS S.A.S,2017-01-02,2480
AVIOCESAR,2017-01-04,101
TARI,2017-01-01,148
VIVA AIR,2017-01-12,251675
LAS,2019-06-01,0
AIR COLOMBIA,2019-06-01,668
SAN-TA,2019-03-01,86
ALPES S.A.S,2014-05-01,723
SEARCA S.A.,2014-12-01,15912
AEROMENEGUA,2015-01-01,300
TAC,2015-02-01,2803
AERO TAXI GUAYMARAL,2015-06-01,27
CENTRAL CHARTER,2015-06-01,23
ADA,2015-10-01,30342
JETBLUE AIRWAYS,2015-07-01,53640
KLM,2015-06-01,8666
AEROPACA SAS,2021-04-01,3762
HELIGOLFO S.A.S,2022-08-01,1027
LAS,2022-08-01,0
AVIOCESAR,2020-12-01,279
EMIRATES,2021-12-01,0
ALPES S.A.S,2020-03-01,411
LUFTHANSA,2020-07-01,672
RIO SUR,2020-01-01,182
TRANSCARGA INTERNATIONAL AIRWAYS C.A.,2021-06-01,0
DELTA,2017-01-07,16277
ASES LTDA.,2017-01-02,329
IBERIA,2017-01-12,28119
LACSA,2017-01-12,18997
CENTRAL CHARTER,2019-02-01,21
TAERCO,2019-03-01,150
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2014-04-01,1061
AERO TAXI GUAYMARAL,2014-12-01,147
PACIFICA DE AVIACION S.A.S,2014-05-01,197
AIR PANAMA,2014-11-01,1994
SADELCA,2014-01-01,627
INTEREJECUTIVA,2015-09-01,537
CHARTER DEL CARIBE S.A.,2015-05-01,173
AVIANCA,2015-01-01,1414954
FEDERAL EXPRESS CORPORATION,2015-03-01,0
FEDERAL EXPRESS CORPORATION,2015-04-01,0
HELICOL,2015-08-01,6991
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2015-06-01,0
SADELCA,2015-03-01,48
TAP PORTUGAL SUCURSAL COLOMBIA,2015-10-01,2207
ABX AIR INC,2021-12-01,0
PACIFICA DE AVIACION S.A.S,2022-12-01,1427
DHL AERO EXPRESO,2022-12-01,0
INTEREJECUTIVA,2020-08-01,267
AVIANLINE CHARTE´S S.A.S.,2020-06-01,567
KLM,2020-09-01,5253
REGAIR,2020-02-01,888
JETBLUE AIRWAYS,2021-02-01,17494
AEROMENEGUA,2021-05-01,114
GCA AIRLINES,2021-06-01,30302
DELTA,2021-06-01,40984
AEROREPUBLICA,2021-06-01,193098
SARPA S.A.S,2022-07-01,4319
CARGOJET AIRWAYS LTD.,2017-01-04,0
AEROGAL,2017-01-02,67682
SKY LEASE,2017-01-01,0
INTEREJECUTIVA,2017-01-07,154
TRANSPACIFICOS,2017-01-01,32
LOS HALCONES,2017-01-03,10
AMERICAN,2017-01-10,59135
DHL AERO EXPRESO,2019-02-01,0
LACSA,2019-06-01,19531
LUFTHANSA,2019-03-01,15007
TAC,2014-12-01,4963
CUBANA,2014-09-01,446
FEDERAL EXPRESS CORPORATION,2014-02-01,0
MAS AIR,2014-01-01,0
STARBLUE AIRLINES,2015-09-01,102
ALPES S.A.S,2015-02-01,337
SEARCA S.A.,2015-02-01,9975
PACIFICA DE AVIACION S.A.S,2015-03-01,116
KLM,2015-04-01,6367
MAS AIR,2015-08-01,0
HELIGOLFO S.A.S,2021-04-01,1834
AEROSUCRE,2021-04-01,0
AERO TAXI GUAYMARAL,2022-08-01,6
EZ AIR,2022-12-01,554
AERO TAXI GUAYMARAL,2020-03-01,141
DELTA,2020-10-01,13161
LUFTHANSA,2021-02-01,3948
TAERCO,2020-01-01,96
TAC,2022-07-01,1422
VIVA AIR PERU,2019-04-01,1221
AIR EUROPA,2017-01-08,15659
LATAM,2017-01-08,502489
AVIATECA,2017-01-05,1044
AEXPA,2017-01-05,290
NO REGISTRA,2017-01-02,381
AVIOCESAR,2017-01-12,67
AER CARIBE,2017-01-11,0
VIVA AIR PERU,2019-02-01,384
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2019-03-01,0
SARPA S.A.S,2014-04-01,3879
AEROLINEAS ALAS DE COLOMBIA LTDA.,2014-11-01,1603
AVIOICHARTER LIMITADA,2014-09-01,431
SOLAIR S.A.S,2014-10-01,89
AIR FRANCE,2014-06-01,15604
TRANS AMERICAN AIR LINES,2014-03-01,33668
INTEREJECUTIVA,2015-06-01,235
SEARCA S.A.,2015-05-01,8175
TAERCO,2015-01-01,110
AIR CANADA,2015-02-01,5390
AIR CANADA,2015-01-01,7569
AIR FRANCE,2015-11-01,12573
AEROSUCRE,2015-02-01,0
AEROREPUBLICA,2015-04-01,158670
SELVA,2015-03-01,0
TURKISH AIRLINES INC,2021-08-01,4882
AEROPACA SAS,2020-10-01,4419
ABSA,2020-04-01,0
VUELA COMPAÑÍA DE AVIACION,2022-02-01,7534
STARBLUE AIRLINES,2020-01-01,116
ARO LTDA,2021-05-01,1408
PACIFICA DE AVIACION S.A.S,2021-05-01,3340
UNIWORLD AIR CARGO,2021-06-01,0
VIVA AIR,2021-06-01,898924
INSEL AIR,2017-01-02,64
AEROCOL S.A.S,2017-01-04,104
AEROCOL S.A.S,2017-01-07,105
INTEREJECUTIVA,2017-01-05,217
FLEXAIR S.A.S,2017-01-04,713
LATAM,2014-06-01,386983
VERTICAL DE AVIACION,2014-01-01,154
VIANA S.A.S,2014-12-01,601
PACIFICA DE AVIACION S.A.S,2014-03-01,208
FLORIDA WEST INTERNATIONAL AIRWAYS INC.,2014-08-01,0
ABSA,2014-04-01,0
ARO LTDA,2015-07-01,240
TAERCO,2015-03-01,115
AEROCHARTER ANDINA S.A.S.,2015-08-01,180
IBERIA,2015-05-01,16212
MAS AIR,2015-01-01,0
MARTINAIR,2015-02-01,0
AIR PANAMA,2015-12-01,4416
AIR PANAMA,2015-04-01,2159
CONVIASA,2015-08-01,4252
ETHIPIAN AIRLINES,2022-04-01,0
AEROMEXICO,2020-12-01,60066
AEROREPUBLICA,2021-12-01,180869
HELI JET SAS,2022-12-01,606
AERO APOYO,2020-04-01,141
AEXPA,2020-02-01,682
AVIANLINE CHARTE´S S.A.S.,2020-09-01,804
EASYFLY S.A,2020-07-01,3735
HORIZONTAL S A S,2021-02-01,342
AEROMEXICO,2021-02-01,24072
ATLAS AIR,2021-02-01,0
FEDERAL EXPRESS CORPORATION,2022-02-01,0
UNITED AIR LINES INC,2022-02-01,12571
FEDERAL EXPRESS CORPORATION,2021-07-01,0
LACSA,2019-04-01,17571
ADA,2017-01-06,17974
EASYFLY S.A,2017-01-09,85465
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2017-01-09,1117
TAMPA CARGO,2019-02-01,0
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2019-02-01,1598
KOREN AIR LINES CO .LTD.,2019-03-01,0
AIR COLOMBIA,2019-03-01,2
RIO SUR,2014-04-01,157
SAVIARE LTDA,2014-12-01,55
SEARCA S.A.,2014-02-01,18013
TAERCO,2014-12-01,90
AMERICA´S AIR SAS,2014-02-01,78
IBERIA,2014-03-01,16921
SPIRIT AIRLINES,2014-02-01,21210
AEROREPUBLICA,2014-02-01,188001
AEROREPUBLICA,2014-04-01,176580
AEROCOL S.A.S,2015-02-01,107
DELTA,2015-01-01,16596
FEDERAL EXPRESS CORPORATION,2015-11-01,0
LUFTHANSA CARGO,2015-09-01,0
OCEANAIR,2015-01-01,411
UNITED AIR LINES INC,2015-09-01,19538
VIVA AIR,2015-08-01,270563
SEARCA S.A.,2020-11-01,14364
AMERICAN,2021-08-01,129346
AEROLINEAS ARGENTINAS,2022-01-01,5011
IBERIA,2020-03-01,46653
IBERIA,2021-02-01,15086
TAMPA CARGO,2022-02-01,0
AVIOCESAR,2021-05-01,40
HELIGOLFO S.A.S,2021-06-01,2100
AEROGAL,2021-05-01,14926
AERO APOYO,2017-01-05,216
RIO SUR,2017-01-01,130
SARPA S.A.S,2017-01-05,2630
CENTRAL CHARTER,2017-01-10,228
ALLAS S.A.S,2014-08-01,1173
AERUPIA SAS,2014-12-01,532
SAVIARE LTDA,2014-02-01,294
SEARCA S.A.,2014-03-01,15817
TAC,2014-06-01,2779
AIR COLOMBIA,2014-07-01,0
DHL AERO EXPRESO,2014-07-01,0
OCEANAIR,2014-11-01,510
CONVIASA,2014-07-01,8963
HELIGOLFO S.A.S,2015-02-01,527
AIR FRANCE,2015-03-01,12047
CARGOLUX AIRLINES INTERNATIONAL S.A.,2015-12-01,0
SPIRIT AIRLINES,2015-12-01,26389
UNITED PARCEL SERVICE,2020-11-01,0
ABX AIR INC,2020-02-01,0
AIR CANADA,2017-01-01,8953
LATAM,2017-01-06,469231
AVIATECA,2017-01-04,1239
AVIOCESAR,2017-01-06,48
TAC,2017-01-07,5213
AEROPACA SAS,2017-01-08,151
RIO SUR,2019-06-01,140
MAS AIR,2019-03-01,0
EMIRATES,2019-03-01,0
AERUPIA SAS,2019-03-01,361
LATAM,2014-07-01,443265
AEROCHARTER ANDINA S.A.S.,2014-07-01,191
HELISTAR S.A.S,2014-02-01,105
HELIGOLFO S.A.S,2014-05-01,286
CARGOLUX AIRLINES INTERNATIONAL S.A.,2014-11-01,0
AEROSUCRE,2014-03-01,0
AERO APOYO,2015-12-01,253
ALPES S.A.S,2015-04-01,388
SARPA S.A.S,2015-11-01,4077
AEROCHARTER ANDINA S.A.S.,2015-02-01,131
AIR COLOMBIA,2015-07-01,0
TRANS AMERICAN AIR LINES,2015-11-01,38703
SAVIARE LTDA,2020-02-01,1395
AMERICA´S AIR SAS,2020-09-01,1485
AVIANCA,2020-09-01,385896
SATENA,2020-08-01,1854
MAS AIR,2021-02-01,0
AERO APOYO,2022-02-01,114
NORTHERN AIR CARGO,2021-03-01,0
TRANSCARGA INTERNATIONAL AIRWAYS C.A.,2019-04-01,0
DHL AERO EXPRESO,2017-01-06,0
KELOWNA FLIGHTCRFT AIR CHARTER LTD.,2017-01-07,0
AMERICA´S AIR SAS,2017-01-08,352
DHL AERO EXPRESO,2017-01-11,0
ASES LTDA.,2017-01-11,701
ASES LTDA.,2019-01-01,352
SKY LEASE,2019-03-01,0
RIO SUR,2014-12-01,44
SEARCA S.A.,2014-05-01,15155
TAC,2014-01-01,4748
DELTA,2014-08-01,17122
AERO TAXI GUAYMARAL,2015-04-01,41
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2015-01-01,0
SELVA,2015-11-01,0
TAMPA CARGO,2015-03-01,0
VENSECAR C.A.,2015-08-01,0
SKY LEASE,2022-08-01,0
ULTRA AIR S.A.S.,2022-08-01,164498
AMERICAN,2021-12-01,136975
JETBLUE AIRWAYS,2021-12-01,34399
SPIRIT AIRLINES,2021-01-01,134319
MARTINAIR,2020-10-01,0
TRANSCARGA INTERNATIONAL AIRWAYS C.A.,2020-06-01,0
UNITED PARCEL SERVICE,2020-10-01,0
AEROPACA SAS,2021-03-01,3642
AVIANCA,2021-01-01,1603257
SPIRIT AIRLINES,2019-04-01,44713
AERUPIA SAS,2019-04-01,439
AEROGAL,2017-01-01,62072
AEROSUCRE,2017-01-05,0
AEROREPUBLICA,2017-01-08,222732
ALPES S.A.S,2017-01-11,213
AVIOICHARTER LIMITADA,2017-01-11,57
SIS SOLUCIONES INTEGRALES,2017-01-12,5
INTERJET,2019-01-01,28234
LACSA,2019-01-01,18668
MARTINAIR,2019-01-01,0
ALIANSA,2019-01-01,1519
AEROPOSTAL,2019-02-01,50
ADA,2019-02-01,13909
KLM,2019-03-01,9138
RIO SUR,2019-03-01,55
TRANSPACIFICOS,2019-03-01,1053
AEROMENEGUA,2014-04-01,366
ARO LTDA,2014-06-01,386
NACIONAL DE AVIACION S.A.S,2014-10-01,108
AIR COLOMBIA,2014-03-01,0
CENTRAL CHARTER,2014-04-01,126
LUFTHANSA,2014-04-01,15044
AERO APOYO,2015-08-01,362
VERTICAL DE AVIACION,2015-04-01,139
SEARCA S.A.,2015-06-01,8155
SEARCA S.A.,2015-07-01,5750
TAERCO,2015-08-01,140
AMERICAN,2015-11-01,46072
AEROPOSTAL,2015-07-01,428
ADA,2015-12-01,31801
AEROGAL,2015-06-01,66316
MAS AIR,2015-04-01,0
SADELCA,2015-02-01,250
TRANS AMERICAN AIR LINES,2015-01-01,38879
NORTHERN AIR CARGO,2020-11-01,0
GOOD FLY CO SAS,2020-12-01,30
CHARTER DEL CARIBE S.A.,2020-12-01,81
HELISAS S.A.S,2022-12-01,168
EASYFLY S.A,2021-01-01,224265
INTEREJECUTIVA,2020-09-01,162
ATLAS AIR,2020-09-01,0
SKY LEASE,2020-05-01,0
TURKISH AIRLINES INC,2022-02-01,6611
MAS AIR,2020-01-01,0
INTEREJECUTIVA,2021-05-01,216
ABX AIR INC,2021-07-01,0
ATLAS AIR,2021-05-01,0
RIO SUR,2017-01-07,108
KLM,2017-01-06,7055
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2017-01-06,0
AEROCHARTER ANDINA S.A.S.,2017-01-03,94
AIR COLOMBIA,2017-01-08,1130
HELISTAR S.A.S,2017-01-11,269
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2019-02-01,0
AEROCOL S.A.S,2014-05-01,241
ARO LTDA,2014-05-01,431
AMERICAN,2014-03-01,37812
INTERJET,2014-03-01,4125
VIVA AIR,2015-07-01,264594
AEROMEXICO,2020-11-01,40044
SERVICIOS AEREOS AMAZONICOS,2021-04-01,172
DELTA,2022-08-01,23142
KLM,2020-12-01,20685
ROYAL AIR MAROC-COMPAGNIE,2021-12-01,0
COPA,2022-01-01,152484
NO REGISTRA,2020-03-01,1455
MAS AIR,2020-08-01,0
AVIANCA,2022-02-01,1159631
SPIRIT AIRLINES,2021-03-01,87084
EMIRATES,2021-07-01,0
WESTERN GLOBAL,2019-04-01,0
AMERICAN,2017-01-01,44032
CUBANA,2017-01-08,770
AEROCOL S.A.S,2017-01-02,115
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2017-01-06,1100
AEROGAL,2017-01-09,80669
HELI JET SAS,2017-01-11,254
AERO TAXI GUAYMARAL,2017-01-10,66
AMERICA´S AIR SAS,2017-01-11,525
21 AIR,2019-02-01,0
AERO TAXI GUAYMARAL,2019-06-01,113
AERUPIA SAS,2014-10-01,797
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2014-11-01,856
PACIFICA DE AVIACION S.A.S,2014-02-01,431
CARGOLUX AIRLINES INTERNATIONAL S.A.,2014-10-01,0
FEDERAL EXPRESS CORPORATION,2014-05-01,0
SKY LEASE,2014-10-01,0
MARTINAIR,2014-10-01,0
INTEREJECUTIVA,2015-08-01,327
TACA S.A.S,2015-06-01,358
TAERCO,2015-02-01,100
HELISTAR S.A.S,2015-06-01,217
AMERICA´S AIR SAS,2015-03-01,178
CARGOLUX AIRLINES INTERNATIONAL S.A.,2015-11-01,0
INSEL AIR,2015-09-01,2040
SELVA,2015-09-01,0
ALPES S.A.S,2022-04-01,10
ULTRA AIR S.A.S.,2022-04-01,80461
JETBLUE AIRWAYS,2022-08-01,22264
FLEXAIR S.A.S,2021-12-01,2074
AMERICA´S AIR SAS,2022-12-01,253
SATENA,2021-01-01,187377
SAER,2020-06-01,144
AEREA S.A.,2020-08-01,927
ABSA,2020-07-01,0
AEROREPUBLICA,2020-08-01,3213
NO REGISTRA,2021-03-01,678
LUFTHANSA,2021-07-01,6904
ETHIPIAN AIRLINES,2021-05-01,0
NORTHERN AIR CARGO,2021-06-01,0
EASYFLY S.A,2017-01-02,70116
JETBLUE AIRWAYS,2017-01-07,34985
LACSA,2017-01-08,19852
ALLAS S.A.S,2017-01-07,1193
INTEREJECUTIVA,2017-01-12,265
AIR CANADA,2019-06-01,14385
FLEXAIR S.A.S,2019-03-01,133
TARI,2014-01-01,352
