Nombre_Empresa_clean,Fecha,pasajeros
SPIRIT AIRLINES,2014-05-01,22393
LUFTHANSA,2015-03-01,14866
TACA INTERNATIONAL,2015-10-01,23014
AEROLINEAS ARGENTINAS,2021-04-01,2876
AIR EUROPA,2021-08-01,12738
ABX AIR INC,2020-12-01,0
VIVA AIR PERU,2020-12-01,351
AVIOCESAR,2022-12-01,109
AEROCOL S.A.S,2021-01-01,39
NO REGISTRA,2021-01-01,882
ETHIPIAN AIRLINES,2021-01-01,0
NORTHERN AIR CARGO,2021-01-01,0
LAS,2022-01-01,0
HELIGOLFO S.A.S,2020-10-01,3030
VIVA AIR PERU,2020-06-01,3162
SATENA,2020-01-01,191508
COPA,2021-07-01,110696
JETBLUE AIRWAYS,2021-06-01,66356
AVIOICHARTER LIMITADA,2017-01-07,25
ASES LTDA.,2017-01-04,250
SIS SOLUCIONES INTEGRALES,2017-01-04,0
ALIANSA,2017-01-02,1252
IBERIA,2017-01-10,26221
VENSECAR C.A.,2019-01-01,0
ASES LTDA.,2014-08-01,30
AERO TAXI GUAYMARAL,2014-09-01,95
LUFTHANSA,2014-01-01,14364
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2015-09-01,1419
AIR COLOMBIA,2015-03-01,0
CARGOLUX AIRLINES INTERNATIONAL S.A.,2015-03-01,0
AEROSUCRE,2015-11-01,0
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2015-08-01,0
SATENA,2015-11-01,88177
VENSECAR C.A.,2015-07-01,0
SATENA,2020-11-01,158022
SAER,2021-04-01,136
AMERICAN,2022-04-01,110299
SAER,2021-08-01,76
ABSA,2020-12-01,0
TURKISH AIRLINES INC,2020-12-01,9831
GCA AIRLINES,2021-12-01,16970
VIVA AIR PERU,2020-09-01,291
AMERICA´S AIR SAS,2021-05-01,1424
AIR CANADA,2019-04-01,11774
ALPES S.A.S,2019-04-01,51
SAER,2017-01-07,223
SARPA S.A.S,2017-01-03,576
NO REGISTRA,2017-01-05,526
TAERCO,2019-02-01,130
AIR EUROPA,2019-06-01,22403
JETBLUE AIRWAYS,2019-03-01,31250
ALPES S.A.S,2019-03-01,61
AERO APOYO,2014-08-01,369
SEARCA S.A.,2014-09-01,15736
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2014-06-01,1400
AIR FRANCE,2014-08-01,15996
CENTRAL CHARTER,2014-02-01,80
TRANS AMERICAN AIR LINES,2014-07-01,37486
CONVIASA,2014-02-01,6964
NACIONAL DE AVIACION S.A.S,2015-05-01,110
CHARTER EXPRESS SAS,2015-10-01,399
AIR COLOMBIA,2015-10-01,0
AEROLINEAS ARGENTINAS,2015-01-01,8139
CUBANA,2015-04-01,81
SATENA,2015-09-01,90178
SAER,2022-04-01,132
AEROMEXICO,2021-01-01,55182
AERUPIA SAS,2020-03-01,978
AERO TAXI GUAYMARAL,2020-05-01,144
DELTA,2020-02-01,64458
AEROGAL,2020-05-01,420
AEROREPUBLICA,2020-07-01,2898
PACIFICA DE AVIACION S.A.S,2022-07-01,1865
AMERIJET INTERNATIONAL,2020-11-01,0
LATAM,2019-04-01,450583
AVIANCA,2019-04-01,1447334
INTERJET,2017-01-04,18909
HELICOL,2017-01-05,5985
MARTINAIR,2017-01-07,0
TURKISH AIRLINES INC,2017-01-07,3789
VENSECAR C.A.,2017-01-04,0
SAER,2017-01-06,232
SAVIARE LTDA,2017-01-07,214
ALIANSA,2017-01-07,1718
CENTRAL CHARTER,2017-01-11,109
SKY LEASE,2017-01-12,0
AEROMENEGUA,2017-01-11,254
AMERICA´S AIR SAS,2017-01-12,105
VENSECAR C.A.,2019-02-01,0
AEROPACA SAS,2019-03-01,591
ALIANSA,2019-03-01,1484
HELISTAR S.A.S,2014-01-01,0
SOLAIR S.A.S,2014-12-01,218
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2014-02-01,0
UNITED PARCEL SERVICE,2014-02-01,0
SAER,2015-09-01,334
SEARCA S.A.,2015-01-01,13483
AVIOICHARTER LIMITADA,2015-01-01,205
DYNAMIC AIRWAYS,2015-06-01,0
UNITED AIR LINES INC,2015-04-01,20383
TURKISH AIRLINES INC,2022-08-01,9245
TRANSCARGA INTERNATIONAL AIRWAYS C.A.,2021-01-01,0
AERO APOYO,2020-09-01,90
HORIZONTAL S A S,2020-04-01,348
